SeqOrder,sourceID,timediff,PTAB,BodyGroup_from,BodyGroup_to
7,1,94.0,-1495300,6,3
8,5,134.0,-1495300,6,3
9,4,134.0,300,6,3
10,5,136.0,300,6,3
11,1,159.0,300,6,3
12,4,164.0,0,6,3
13,5,170.0,0,6,3
14,7,176.0,0,6,3
15,13,186.0,0,6,3
16,9,187.0,0,6,3
17,2,204.0,0,6,3
0,10,204.0,0,6,3
1,11,0.0,0,3,3
2,6,22.0,0,3,3
3,4,26.0,-986900,3,3
4,5,33.0,-986900,3,3
5,1,34.0,-986900,3,3
6,5,52.0,-986900,3,3
7,4,103.0,950,3,3
8,5,104.0,950,3,3
9,5,116.0,950,3,3
10,4,116.0,-1250,3,3
11,5,117.0,-1250,3,3
12,1,118.0,-1250,3,3
13,1,144.0,-1250,3,3
14,4,147.0,50,3,3
15,5,154.0,50,3,3
16,7,159.0,50,3,3
17,13,174.0,50,3,3
18,9,175.0,50,3,3
19,2,189.0,50,3,3
0,10,189.0,50,3,3
1,11,0.0,50,3,3
2,6,13.0,50,3,3
3,4,17.0,-1041900,3,3
4,5,24.0,-1041900,3,3
5,1,25.0,-1041900,3,3
6,5,43.0,-1041900,3,3
7,1,46.0,-1041900,3,3
8,4,94.0,350,3,3
9,5,96.0,350,3,3
10,5,105.0,350,3,3
11,1,158.0,350,3,3
12,4,176.0,-150,3,3
13,5,183.0,-150,3,3
14,7,191.0,-150,3,3
15,13,200.0,-150,3,3
16,9,201.0,-150,3,3
0,10,216.0,-150,3,3
1,11,0.0,-150,3,10
2,6,11.0,-150,3,10
3,4,20.0,-1036900,3,10
4,5,27.0,-1036900,3,10
5,1,37.0,-1036900,3,10
6,5,38.0,-1036900,3,10
7,5,60.00000000000001,-1036900,3,10
8,4,112.0,300,3,10
9,5,114.0,300,3,10
10,5,127.0,300,3,10
11,1,230.00000000000003,300,3,10
12,4,233.00000000000003,150,3,10
13,5,240.00000000000003,150,3,10
14,7,246.00000000000003,150,3,10
15,13,281.0,150,3,10
16,9,281.0,150,3,10
17,2,296.0,150,3,10
0,10,296.0,150,3,10
1,11,0.0,150,10,3
2,6,4.0,150,10,3
3,4,63.00000000000001,-1036900,10,3
4,5,70.0,-1036900,10,3
5,1,71.0,-1036900,10,3
6,5,78.0,-1036900,10,3
7,5,86.0,-1036900,10,3
8,4,112.0,400,10,3
9,5,113.0,400,10,3
10,5,122.0,400,10,3
11,1,138.0,400,10,3
12,4,141.0,150,10,3
13,5,147.0,150,10,3
14,7,148.0,150,10,3
15,13,159.0,150,10,3
16,9,160.0,150,10,3
17,2,176.0,150,10,3
0,10,176.0,150,10,3
1,11,0.0,150,3,10
2,6,4.0,150,3,10
3,4,14.0,-1005850,3,10
4,5,21.0,-1005850,3,10
5,1,22.0,-1005850,3,10
6,5,31.000000000000004,-1005850,3,10
7,5,39.0,-1005850,3,10
8,5,46.0,-1005850,3,10
9,4,84.0,350,3,10
10,5,85.0,350,3,10
11,5,96.0,350,3,10
12,4,97.0,-2500,3,10
13,5,97.0,-2500,3,10
14,1,123.0,-2500,3,10
15,4,126.0,150,3,10
16,5,133.0,150,3,10
17,7,134.0,150,3,10
18,13,144.0,150,3,10
19,9,144.0,150,3,10
20,2,160.0,150,3,10
0,10,160.0,150,3,10
1,11,0.0,150,10,9
2,6,15.000000000000002,150,10,9
3,4,19.0,-1097850,10,9
4,5,26.0,-1097850,10,9
