date,day_of_week,day_of_year,num_sessions,session_start_times,machine_id
2024-04-16,1,107,39,"[26095, 27086, 27719, 28390, 29753, 30898, 31554, 33136, 33663, 34728, 35347, 36555, 37229, 38569, 39738, 40839, 41513, 42307, 43059, 47606, 48546, 49190, 50003, 50613, 53234, 54050, 54644, 55369, 55961, 56510, 58049, 58955, 59918, 60508, 61097, 62147, 63263, 63754, 64728]",190192
2024-04-17,2,108,45,"[26372, 27213, 28065, 29007, 29732, 32048, 32790, 33566, 34385, 34936, 36310, 38074, 38810, 39992, 40891, 41695, 42203, 42942, 43641, 44373, 44945, 45831, 46347, 47200, 47977, 48684, 49408, 50774, 51795, 52282, 53039, 54316, 55212, 55762, 56530, 57679, 58446, 59159, 60154, 60979, 61664, 62400, 64006, 65049, 66382]",190192
2024-04-18,3,109,36,"[29088, 30570, 31591, 32842, 34469, 35500, 36434, 37206, 38018, 38635, 39345, 40085, 40708, 41516, 42236, 47575, 48458, 49200, 50125, 51013, 52079, 52885, 53971, 54682, 55586, 56389, 57301, 58092, 58653, 59398, 60060, 60734, 61539, 62344, 63235, 64904]",190192
2024-04-16,1,107,48,"[29219, 29784, 30441, 31100, 32235, 32782, 33848, 34779, 36153, 37128, 37634, 38214, 38791, 39646, 40635, 41477, 42382, 42907, 43443, 44130, 44727, 45454, 46212, 46884, 47668, 48426, 48971, 49944, 51033, 51814, 52415, 53340, 54274, 55798, 57071, 58368, 59822, 60622, 61409, 62165, 62952, 63693, 64650, 65577, 66662, 67546, 68200, 69372]",190293
2024-04-17,2,108,47,"[28920, 29579, 30195, 30861, 32562, 33497, 34541, 35674, 36779, 37519, 38116, 38721, 39779, 40858, 42217, 43252, 44364, 45507, 46746, 47251, 47850, 49083, 50160, 51012, 51827, 52847, 53549, 54879, 56177, 57562, 58261, 59387, 60669, 61679, 62313, 62955, 63694, 64268, 64846, 65492, 66085, 66834, 67412, 68159, 68697, 69249, 69923]",190293
2024-04-18,3,109,46,"[28824, 29498, 31096, 32003, 32808, 33476, 34132, 35439, 37292, 37993, 38669, 39393, 39734, 41163, 42371, 42802, 43707, 45161, 45850, 47558, 48566, 49501, 50496, 51309, 51946, 52561, 53188, 54829, 56441, 57174, 57794, 58486, 59048, 59587, 60048, 61217, 63267, 64295, 65219, 66199, 66905, 67484, 68309, 68886, 69490, 70208]",190293
2024-04-16,1,107,35,"[25347, 25977, 26606, 27237, 27939, 28605, 29505, 30172, 30980, 32355, 33150, 33850, 34694, 35415, 36362, 37098, 38026, 39038, 39921, 40432, 41522, 43121, 45145, 45780, 46454, 47394, 48171, 48998, 50241, 51171, 51885, 53380, 54637, 55790, 56504]",190387
2024-04-17,2,108,46,"[30824, 31657, 32558, 33168, 33906, 34749, 35521, 36510, 37302, 38367, 39485, 40313, 40887, 41664, 42386, 43449, 44246, 45074, 45861, 46694, 47520, 48354, 49026, 49663, 50481, 51221, 52427, 53998, 55024, 56188, 57240, 58142, 58868, 59733, 60753, 62674, 63819, 65131, 65964, 66586, 67339, 67997, 68643, 69406, 70063, 70712]",190387
2024-04-18,3,109,52,"[25040, 25690, 26292, 26946, 27638, 28316, 28997, 29620, 30843, 31684, 32513, 33214, 34105, 35137, 35983, 37109, 37885, 39039, 39681, 40498, 41461, 42460, 43289, 44091, 45301, 46497, 47299, 48561, 49416, 50212, 50848, 52128, 53704, 54628, 55594, 56910, 57576, 58561, 59294, 60052, 61259, 62052, 62926, 64077, 65158, 65977, 66650, 67471, 68455, 69186, 70061, 70888]",190387
2024-04-16,1,107,38,"[27530, 28259, 28871, 29546, 30912, 31994, 33943, 35270, 36293, 37354, 38560, 39892, 41687, 42860, 44226, 45186, 46538, 47166, 47763, 48454, 49584, 50407, 51494, 52447, 53567, 54430, 55506, 56788, 57930, 59075, 60264, 61549, 62754, 63878, 64951, 65850, 66840, 67975]",190519
2024-04-17,2,108,41,"[27124, 27781, 28447, 29193, 30689, 31466, 32215, 33927, 34890, 36197, 37965, 39152, 40444, 41413, 42437, 43703, 44398, 45547, 46264, 46959, 47580, 48600, 49615, 50665, 51981, 53061, 54439, 55631, 56588, 57593, 58664, 60003, 61252, 62328, 63217, 64096, 65185, 65799, 66408, 66980, 67623]",190519
2024-04-18,3,109,34,"[27019, 27627, 29214, 29782, 30610, 31361, 32007, 33504, 35152, 36595, 38122, 40048, 41261, 42522, 43265, 44032, 44757, 46085, 47661, 48345, 49200, 49860, 50751, 51896, 52731, 55613, 56451, 59874, 61409, 62374, 64627, 65294, 66063, 66714]",190519
