SeqOrder,sourceID,timediff,PTAB,BodyGroup_from,BodyGroup_to,Position_encoded,Direction_encoded,true_total_time
13,5,36.0,-1538100,1,2,0,0,280.0
13,1,59.00000000000001,-1538100,1,2,0,0,280.0
13,4,107.0,950,1,2,0,0,280.0
13,5,108.0,950,1,2,0,0,280.0
13,5,117.0,950,1,2,0,0,280.0
13,5,126.0,950,1,2,0,0,280.0
13,5,134.0,950,1,2,0,0,280.0
13,4,153.0,50,1,2,0,0,280.0
13,5,154.0,50,1,2,0,0,280.0
13,5,163.0,50,1,2,0,0,280.0
13,4,163.0,-1200,1,2,0,0,280.0
13,5,164.0,-1200,1,2,0,0,280.0
13,1,190.0,-1200,1,2,0,0,280.0
13,4,212.0,400,1,2,0,0,280.0
13,5,216.0,400,1,2,0,0,280.0
13,4,217.0,-362000,1,2,0,0,280.0
13,5,218.0,-362000,1,2,0,0,280.0
13,8,230.00000000000003,-362000,1,2,0,0,280.0
13,4,231.00000000000003,-318900,1,2,0,0,280.0
13,5,236.00000000000003,-318900,1,2,0,0,280.0
13,7,241.00000000000003,-318900,1,2,0,0,280.0
13,15,261.0,-318900,1,2,0,0,280.0
13,9,261.0,-318900,1,2,0,0,280.0
13,2,280.0,-318900,1,2,0,0,280.0
13,10,280.0,-318900,1,2,0,0,280.0
14,11,0.0,-318900,2,6,0,0,174.0
14,6,6.0,-318900,2,6,0,0,174.0
14,4,11.0,-1097900,2,6,0,0,174.0
14,5,18.0,-1097900,2,6,0,0,174.0
14,5,30.000000000000004,-1097900,2,6,0,0,174.0
14,1,34.0,-1097900,2,6,0,0,174.0
14,1,53.0,-1097900,2,6,0,0,174.0
14,5,72.0,-1097900,2,6,0,0,174.0
14,4,86.0,500,2,6,0,0,174.0
14,5,87.0,500,2,6,0,0,174.0
14,5,99.0,500,2,6,0,0,174.0
14,1,112.0,500,2,6,0,0,174.0
14,4,127.0,-200,2,6,0,0,174.0
14,5,135.0,-200,2,6,0,0,174.0
14,7,142.0,-200,2,6,0,0,174.0
14,15,157.0,-200,2,6,0,0,174.0
14,9,158.0,-200,2,6,0,0,174.0
14,2,174.0,-200,2,6,0,0,174.0
14,10,174.0,-200,2,6,0,0,174.0
15,11,0.0,-200,6,3,0,0,204.0
15,6,41.0,-200,6,3,0,0,204.0
15,4,45.0,-1495300,6,3,0,0,204.0
15,5,54.0,-1495300,6,3,0,0,204.0
15,5,66.0,-1495300,6,3,0,0,204.0
15,1,76.0,-1495300,6,3,0,0,204.0
15,1,94.0,-1495300,6,3,0,0,204.0
15,5,134.0,-1495300,6,3,0,0,204.0
15,4,134.0,300,6,3,0,0,204.0
15,5,136.0,300,6,3,0,0,204.0
15,1,159.0,300,6,3,0,0,204.0
15,4,164.0,0,6,3,0,0,204.0
15,5,170.0,0,6,3,0,0,204.0
15,7,176.0,0,6,3,0,0,204.0
15,15,186.0,0,6,3,0,0,204.0
15,9,187.0,0,6,3,0,0,204.0
15,2,204.0,0,6,3,0,0,204.0
15,10,204.0,0,6,3,0,0,204.0
16,11,0.0,0,3,3,0,0,189.0
16,6,22.0,0,3,3,0,0,189.0
16,4,26.0,-986900,3,3,0,0,189.0
16,5,33.0,-986900,3,3,0,0,189.0
16,1,34.0,-986900,3,3,0,0,189.0
16,5,52.0,-986900,3,3,0,0,189.0
16,4,103.0,950,3,3,0,0,189.0
16,5,104.0,950,3,3,0,0,189.0
16,5,116.0,950,3,3,0,0,189.0
16,4,116.0,-1250,3,3,0,0,189.0
16,5,117.0,-1250,3,3,0,0,189.0
16,1,118.0,-1250,3,3,0,0,189.0
16,1,144.0,-1250,3,3,0,0,189.0
16,4,147.0,50,3,3,0,0,189.0
16,5,154.0,50,3,3,0,0,189.0
16,7,159.0,50,3,3,0,0,189.0
16,15,174.0,50,3,3,0,0,189.0
16,9,175.0,50,3,3,0,0,189.0
16,2,189.0,50,3,3,0,0,189.0
16,10,189.0,50,3,3,0,0,189.0
17,11,0.0,50,3,3,0,0,216.0
17,6,13.0,50,3,3,0,0,216.0
17,4,17.0,-1041900,3,3,0,0,216.0
